iter	RMSE
0	286.9631152
1	286.8319679
2	286.6449851
3	286.4537839
4	286.2476798
5	286.0987509
6	285.8431876
7	285.7073177
8	285.6402449
9	285.5076143
10	285.397006
11	285.3926823
12	285.2142539
13	285.183261
14	285.0087096
15	284.8534556
16	284.7121235
17	284.5148412
18	284.4916184
19	284.4784619
20	284.4447663
21	284.3836139
22	284.2732876
23	284.2732875
24	284.1365712
25	284.0071708
26	283.9231814
27	283.868639
28	283.8237032
29	283.7125977
30	283.591639
31	283.510001
32	283.4315617
33	283.361282
34	283.2367361
35	283.1206854
36	282.9483925
37	282.9241899
38	282.7727766
39	282.7430946
40	282.6412749
41	282.4732582
42	282.365329
43	282.2952007
44	282.1838696
45	282.1142594
46	282.1129307
47	282.0661943
48	281.9395283
49	281.7706955
50	281.6665702
51	281.6490508
52	281.4201965
53	281.275381
54	281.2677926
55	281.1535887
56	281.0029728
57	280.9847305
58	280.7651027
59	280.5529894
60	280.5469393
61	280.3930346
62	280.294859
63	280.2337581
64	280.2108465
65	280.1960535
66	280.0324976
67	279.935416
68	279.9015911
69	279.9004935
70	279.8020182
71	279.7274972
72	279.6400754
73	279.5361033
74	279.4127677
75	279.3373415
76	279.3255751
77	279.2822199
78	279.1545655
79	279.0308881
80	279.0129967
81	278.9691041
82	278.9019274
83	278.7538517
84	278.649138
85	278.4797201
86	278.4297867
87	278.3527404
88	278.2593678
89	278.1088429
90	278.0454742
91	277.9218904
92	277.8805439
93	277.7738584
94	277.7138865
95	277.6936622
96	277.6129484
97	277.6007682
98	277.5292754
99	277.425467
100	277.4120637
101	277.4067286
102	277.3468415
103	277.2110809
104	277.2005361
105	277.1668992
106	277.0426329
107	277.014717
108	277.0011191
109	276.9469019
110	276.7532233
111	276.7529055
112	276.6976504
113	276.6345067
114	276.5697462
115	276.4417848
116	276.3920772
117	276.2870329
118	276.1108187
119	275.9534859
120	275.947764
121	275.7947662
122	275.773789
123	275.7636472
124	275.7518401
125	275.7299779
126	275.6361092
127	275.5622274
128	275.4846781
129	275.3629953
130	275.3599846
131	275.2696702
132	275.0914779
133	275.0186219
134	275.0180737
135	274.9094649
136	274.7691029
137	274.6891263
138	274.6200182
139	274.4609804
140	274.3848902
141	274.3176159
142	274.1788916
143	274.0624745
144	273.9194544
145	273.9066501
146	273.8606541
147	273.657073
148	273.6570721
149	273.4013097
150	273.3874285
151	273.2902464
152	273.2221183
153	273.1327781
154	273.1291031
155	273.0177037
156	273.004071
157	272.8552563
158	272.8227913
159	272.7157777
160	272.5957797
161	272.3904387
162	272.2814936
163	272.225674
164	272.2033697
165	272.1204403
166	272.0771634
167	271.9387817
168	271.8936206
169	271.893094
170	271.8576002
171	271.8482169
172	271.7937367
173	271.6956903
174	271.5376815
175	271.4674824
176	271.2449121
177	271.1373754
178	271.0682469
179	271.0354338
180	270.9100885
181	270.8485574
182	270.7689669
183	270.7224155
184	270.6854896
185	270.5867128
186	270.4589921
187	270.3412228
188	270.2490063
189	270.1554614
190	270.1517135
191	270.0208378
192	269.923246
193	269.8231389
194	269.6854645
195	269.6625629
196	269.6315037
197	269.5292334
198	269.4299303
199	269.3758916
200	269.3200991
201	269.2396254
202	269.1828314
203	269.0406937
204	268.9555551
205	268.9449533
206	268.8652196
207	268.7427184
208	268.5255333
209	268.501055
210	268.3845446
211	268.3308532
212	268.2801209
213	268.2706964
214	268.1129989
215	267.9332569
216	267.8830707
217	267.7568094
218	267.7027934
219	267.5874671
220	267.4569186
221	267.4467937
222	267.3628385
223	267.3536483
224	267.3106775
225	267.3019169
226	267.2110422
227	267.1062295
228	267.0423608
229	266.8588983
230	266.8139893
231	266.7340738
232	266.615966
233	266.4530867
234	266.3872374
235	266.2265675
236	266.1283176
237	266.0819315
238	266.0272554
239	265.9888819
240	265.8770133
241	265.8273118
242	265.8197274
243	265.7770346
244	265.6909879
245	265.6315016
246	265.4512795
247	265.3428732
248	265.2191193
249	265.1650807
250	265.161941
251	265.028048
