iter	Passed	Remaining
0	29	7371
1	89	11210
2	140	11633
3	182	11327
4	221	10962
5	260	10668
6	299	10487
7	338	10333
8	378	10217
9	413	10012
10	453	9936
11	476	9522
12	511	9410
13	520	8850
14	549	8682
15	586	8654
16	613	8482
17	642	8349
18	660	8102
19	673	7811
20	690	7595
21	714	7472
22	757	7547
23	767	7286
24	811	7365
25	853	7418
26	891	7425
27	957	7659
28	997	7668
29	1039	7694
30	1079	7696
31	1117	7684
32	1153	7655
33	1191	7637
34	1228	7616
35	1262	7575
36	1292	7511
37	1302	7336
38	1336	7298
39	1369	7255
40	1401	7210
41	1444	7221
42	1481	7198
43	1522	7195
44	1551	7135
45	1576	7060
46	1584	6912
47	1617	6875
48	1653	6850
49	1694	6845
50	1718	6774
51	1730	6655
52	1755	6590
53	1792	6571
54	1809	6482
55	1863	6523
56	1910	6537
57	1933	6465
58	1970	6444
59	2007	6422
60	2031	6360
61	2082	6381
62	2125	6376
63	2154	6330
64	2171	6246
65	2193	6180
66	2226	6148
67	2258	6111
68	2291	6077
69	2302	5986
70	2334	5952
71	2368	5921
72	2414	5921
73	2458	5913
74	2495	5888
75	2534	5869
76	2549	5793
77	2579	5755
78	2610	5715
79	2635	5667
80	2649	5592
81	2690	5577
82	2733	5566
83	2771	5543
84	2808	5518
85	2874	5549
86	2914	5527
87	2952	5501
88	2991	5479
89	3029	5452
90	3063	5419
91	3097	5386
92	3131	5354
93	3167	5324
94	3206	5299
95	3247	5276
96	3280	5241
97	3288	5168
98	3313	5120
99	3338	5075
100	3353	5014
101	3384	4977
102	3422	4950
103	3460	4924
104	3475	4865
105	3521	4849
106	3557	4821
107	3587	4782
108	3597	4719
109	3621	4675
110	3648	4634
111	3657	4571
112	3686	4534
113	3718	4501
114	3742	4458
115	3774	4425
116	3800	4384
117	3839	4359
118	3905	4365
119	3948	4343
120	3967	4295
121	4015	4278
122	4060	4258
123	4089	4220
124	4108	4174
125	4138	4138
126	4173	4107
127	4210	4079
128	4238	4041
129	4266	4003
130	4278	3951
131	4312	3920
132	4348	3890
133	4385	3861
134	4397	3810
135	4433	3781
136	4474	3755
137	4511	3727
138	4552	3700
139	4583	3667
140	4620	3637
141	4649	3601
142	4679	3566
143	4716	3537
144	4745	3501
145	4757	3454
146	4781	3415
147	4807	3378
148	4815	3328
149	4847	3295
150	4877	3262
151	4911	3230
152	4941	3197
153	4974	3165
154	4983	3118
155	5011	3083
156	5028	3042
157	5054	3006
158	5094	2979
159	5154	2963
160	5204	2941
161	5256	2920
162	5297	2892
163	5344	2867
164	5394	2844
165	5439	2818
166	5485	2792
167	5532	2766
168	5575	2738
169	5589	2695
170	5630	2667
171	5651	2628
172	5693	2600
173	5737	2571
174	5783	2544
175	5828	2517
176	5871	2487
177	5914	2458
178	5958	2430
179	5991	2396
180	6034	2366
181	6076	2337
182	6120	2307
183	6155	2274
184	6190	2242
185	6227	2209
186	6273	2180
187	6306	2146
188	6343	2114
189	6381	2082
190	6407	2046
191	6452	2016
192	6495	1985
193	6555	1959
194	6609	1931
195	6650	1900
196	6700	1870
197	6750	1841
198	6797	1810
199	6839	1778
200	6888	1747
201	6936	1716
202	6980	1684
203	7023	1652
204	7067	1620
205	7096	1584
206	7140	1552
207	7182	1519
208	7220	1485
209	7261	1452
210	7292	1417
211	7358	1388
212	7410	1356
213	7428	1318
214	7479	1287
215	7531	1255
216	7584	1223
217	7629	1189
218	7675	1156
219	7725	1123
220	7791	1092
221	7808	1055
222	7857	1021
223	7883	985
224	7933	952
225	7950	914
226	8000	881
227	8048	847
228	8093	812
229	8141	778
230	8190	744
231	8231	709
232	8269	674
233	8312	639
234	8361	604
235	8411	570
236	8470	536
237	8516	500
238	8565	465
239	8616	430
240	8668	395
241	8711	359
242	8726	323
243	8770	287
244	8814	251
245	8862	216
246	8904	180
247	8946	144
248	8989	108
249	9033	72
250	9060	36
251	9101	0
